Unnamed: 0,Product,Review_Summary,Rating
32178,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","Looks great sophisticated machine. Delivery was on the promised date. But I wonder why it was kept at nearest hub for two days, and not delivered early. I contacted the Midea company for installation as it wasn't initiated by Flipkart.The customer service of Midea is excellent and reassures my decision of buying an unknown brand as good.First wash of utensils was good but not the best. Hope it will get better as we learn to position the utensils better way.Overall satisfied with purchase.",4
32179,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","best product, best seller, 1 day shipin and delivery,second day midea instillation done, i use 2day low Power consumption and nice cleaning ,i very happy this product and 12 months no cost Emi, thanks flipkart this sarvice.",5
32180,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Product is really good it works well clean everything better than the hand shine of the stencils remains good accept aluminium wood and iron. What else I can say buy and see the technology ???? Thanks to Flipkart.,5
32181,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Excellent work done for a good price better than Bosch and lg for this price,5
32182,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","Superb product.. Work very smoothly, easy to operate, very reasonable price..although installation done very late.. Was worried abt that but finally done after 14days..seller should take care abt this otherwise everything awesome abt the diswasher",5
32183,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","After 3 months I watch performance, after using it daily,  best product to buy at very good price. Very easy to operate. Must buy midea dishwasher",5
32184,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Really happy with the dishwasher.Dishes comes out sparkling clean.  Things to keep in mind_1. Cleaning also depends on the detergent. So do analyse  before buying detergent.2. Choose the wash cycle. The ECO mode works best both in terms of cleaning and power consumption.,4
32185,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",Very nice product at a decent price. Writing user review after almost 1 month of usage.Pros:Cost effective.Takes lesser time as showm in timer.Cleans nicely if the soiled part is pointing towards water flow.Lesser water usedCons:Need to rub utensils with strong soil a little to get full cleanupSoak utensils in water for sometime for better cleanupYou need to rub milk and other soils.Ensure no two utensils should be placed one above other else the utensils in the top will not get c...,4
32186,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","Good product that does its job well. Have tried couple of program options and looks good so far. Accessories are not easily available in stores and need to buy from the person who comes for installation and demo. Buy dishwasher salt, dishwasher detergent and rinse aid before the demo.",4
32187,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","Summary :It's a Great utility value, specially the areas where you are having troubles with maids, this machine solves the purpose.Quality :Build quality is excellent. Cycle takes 4 hrs for eco mode and there are several other modes for the various purposes.Using finish tablets so far and wash  quality is very good.Arrangement of utensils will take around 15 mins but gradually one should be familiar for better space utilisation.Miscellaneous : Don't put Aluminum utensils, as they wi...",5
