Unnamed: 0,Product,Review_Summary,Rating
32668,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"One word , terrific . Go for it . Was planning to purchase one since long , but under covid situation purchased it. Excellent cleaning. Steel , porcelain,bone china and glass utensils cleans perfectly. Though some have written aluminium utensils can not be washed , but we got good cleaning even with aluminium vessels. Can fit all shapes and sizes of utensils. No noise . Take exactly 1.30 hrs in intensive kadai mode , no more , no less. There is also quick mode of 0.30 hrs. Those who are s...",4
32669,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Writing this review after a week use. At first to run this machine you need additional suppliments like dishwasher salt, rinse aid and dishwasher detergent. However small kit comes with this machine but that's for one use only.Now come to washing, so the washing of utensils is very effective and your steel utensils will shine like never before. Washing time on eco mode is 1.30 hrs and quick mode is 30 mins. I always use eco mode as it uses less electricity and water, however time is more but...",4
32670,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"For buyers- you will need a constant water connection with a certain flow, an electric connection (extension basically) as the wire is short, and proper place for the water outlet pipe. If you don't have these, then the installation guy won't visit. When you get it, then you will have to ask for a reappointment for the installation guy as the window of his visit has been over.If you can do it (which is a prerequisite for all dishwashers and isn't mentioned in the description for all of the...",5
32671,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"truelly awesome machine, super hygienic utensils, works well with oily utensils like kadai, feeling like why not bought earlier, maid was charging 1500 for that and that to very unhygienic way, and partly cleaned. 70 degree hot water works well, super happy with product",5
32672,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Amazing product ! After intense research and checking multiple options, the reliability and quality of product in unmatchable. Just used for a week now, and it has never dissapointed for any operation ! Installation person Venkatesh was very kind and helpful and explained everything properly ! He also explained about the offers and tablet usage and never forced to purchase, which was nice !",5
32673,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,The product was delivered in 4 days and came in excellent condition also the installation and demo was done after two days. I am so glad that I purchased this product and that too through flipkart.Excellent Dish washer highly recommended Thank you Flipkart,5
32674,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"it is an excellent product, works flawlessly and also happy with the installation and delivery. easy to recommend product",5
32675,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Great machine....It works better than man.I am very happy by its  sparkle like cleaning. awesome love it also thanks  flipkart for timely  delivery and quick demo ????,5
32676,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Very useful, our help is very irregular so to reduce dependency and have an alternative, I have taken risk since in the are we live in Bangalore is depends on bore well water, but this machine takes care of that. It's about few weeks and my wife is happy.  Also realised that the super coins concept is nothing but a kind of fraud, because the validity of the coins expired and not many options to redeem. I realised that have other compettitor to shop.",5
32677,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Excellent performance of the machine...washed utensils appear like new... extremely low noise during washing...good buy...!!!,5
32678,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Hi,Product is very good.  On time delivery. Go ahead and buy it.Installation support is not that good. Be prepared for delay and less professional work. Two times schedule has been modified in my location with in Bangalore. You will get sms message from Bosch that at present engineers are not visiting customer home.  Will plan once situation is normal. Four days went without any clue on installation. I started looking for my own installation.  Fifth day,  service engineer called me a...",4
32679,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Got defective product from the seller name Electronic Hut. Product looks old and all the paper work was not proper.,1
32680,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Dishwasher is good but company is not providing all required part for the installation. There is a part need to attach to dishwasher inlet pipe which cost around rs.300/-. I need to pay for this seperately. This is rediculas. That's why I given 3 star. Otherwise I give them 5 star.,3
32681,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Most useful machine. The utensils get cleaned really well. Saves lot of water. Gets rid of dependency on the maid.,5
32682,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Nice and useful. Beautiful Design.,5
