Unnamed: 0,Product,Review_Summary,Rating
941,Amazon Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player,A lazy mans drean when it is combined with Alexa. If you get the harmony hub you can really impress with home automation,5.0
942,Amazon Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player,I really enjoy my Fire stick. It's really easy to use.,5.0
944,Amazon Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player,Love it! Works great. One in each of the main rooms.,5.0
